iter	RMSE
0	15.8304568
1	14.94548951
2	14.09753957
3	13.28977144
4	12.5754962
5	11.97304172
6	11.36908459
7	10.78714473
8	10.25699175
9	9.75905237
10	9.373762403
11	9.017847214
12	8.626138844
13	8.319593203
14	8.008617039
15	7.712141511
16	7.444870733
17	7.155029783
18	6.945799606
19	6.736846858
20	6.539928899
21	6.341700181
22	6.165320515
23	5.992033717
24	5.837518407
25	5.71141514
26	5.572976622
27	5.458436055
28	5.350732319
29	5.247302147
30	5.15750265
31	5.047794198
32	4.970550919
33	4.88061977
34	4.794565923
35	4.725448506
36	4.6522485
37	4.58832375
38	4.529215527
39	4.468888571
40	4.421834617
41	4.371515972
42	4.33409419
43	4.284991931
44	4.221611048
45	4.180524335
46	4.136493679
47	4.103033643
48	4.054919629
49	4.028403577
50	3.999139403
51	3.961349722
52	3.931889908
53	3.896897742
54	3.861213798
55	3.838127013
56	3.797847748
57	3.77284487
58	3.730006072
59	3.694732344
60	3.691485014
61	3.674393284
62	3.647034367
63	3.623851811
64	3.604896522
65	3.590390243
66	3.57834579
67	3.552841339
68	3.529097685
69	3.511653708
70	3.493638739
71	3.478891365
72	3.453339779
73	3.431696927
74	3.412213115
75	3.387708707
76	3.376702664
77	3.357021695
78	3.348211373
79	3.336757376
80	3.319878526
81	3.290148322
82	3.285441799
83	3.276089748
84	3.25477569
85	3.238190226
86	3.206869228
87	3.199654596
88	3.185463718
89	3.165835492
90	3.136222987
91	3.108071656
92	3.082406194
93	3.065909625
94	3.055915319
95	3.041734131
96	3.019367606
97	2.999056158
98	2.979434248
99	2.970331686
