iter	Passed	Remaining
0	3	370
1	7	364
2	11	366
3	14	356
4	18	344
5	21	339
6	24	328
7	27	321
8	30	309
9	33	305
10	36	297
11	39	291
12	42	287
13	46	286
14	50	284
15	53	281
16	57	280
17	61	279
18	64	276
19	68	273
20	71	269
21	74	263
22	77	259
23	80	255
24	83	251
25	87	247
26	90	244
27	93	240
28	97	237
29	100	233
30	103	230
31	106	227
32	110	223
33	113	219
34	116	216
35	119	211
36	122	208
37	125	205
38	128	201
39	131	197
40	134	193
41	137	190
42	141	186
43	144	183
44	147	180
45	151	177
46	154	174
47	158	171
48	161	167
49	164	164
50	167	161
51	170	157
52	173	154
53	177	150
54	180	147
55	183	144
56	186	140
57	189	137
58	192	134
59	195	130
60	196	125
61	197	121
62	200	117
63	204	115
64	207	111
65	211	108
66	214	105
67	217	102
68	220	99
69	223	95
70	226	92
71	230	89
72	233	86
73	237	83
74	240	80
75	243	77
76	247	73
77	250	70
78	254	67
79	257	64
80	260	61
81	264	58
82	266	54
83	269	51
84	272	48
85	275	44
86	278	41
87	282	38
88	285	35
89	288	32
90	292	28
91	295	25
92	298	22
93	301	19
94	305	16
95	308	12
96	311	9
97	314	6
98	318	3
99	321	0
